id	en
Selamat liburan!	Happy holidays!
Saya tidak suka menggunakan Google-Terjemahan.	I don't like to use Google Translator.
Saya tidak suka menggunakan Google-Terjemahan.	I don't like to use Google Translate.
Mungkin kebahagiaan yang sedang menunggu kita bukanlah kebahagiaan yang kita inginkan.	It may be that the happiness awaiting us is not at all the sort of happiness we would want.
Kebanyakan film Hollywood berakhir dengan bahagia.	Most Hollywood films have happy endings.
Kalau kamu ingin bahagia, maka berbahagialah.	If you want to be happy, then be happy.
Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.	African elephants have bigger ears than Asian elephants.
Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.	The African elephant has bigger ears than the Asian elephant.
Tolong, jangan menangis lagi.	Please don't cry again.
Tolong, jangan menangis lagi.	Please don't cry any more.
Sepatah kata sudah cukup bagi orang bijak.	A word is enough to a wise man.
Apa gunung tertinggi di Amerika Utara?	What is the highest mountain in North America?
Kesabaran merupakan kebajikan yang sukar ditemukan belakangan ini.	Patience is a rare virtue these days.
Saya ingin naik ke puncak gunung Kitadake.	I want to climb to the peak of Mount Kitadake.
Saya melihatnya mencuci mobil.	I saw her wash the car.
Dia dan ibunya pergi berbelanja.	He and his mother went shopping.
Tahun depan dia akan berumur 17 tahun.	Next year she will be 17.
Semua bajunya dibuat oleh dia sendiri.	He made all of the clothes himself.
Saya telah melihatnya menyapu kamar.	I saw her sweep the room.
Apakah saya harus membelikannya barang?	Should I buy something?
Mari kita cari tempat yang bisa diduduki di sebelah depan.	Let's find somewhere to sit at the front.
Apakah saya bisa berbicara dengan Bapak Sato?	Can I speak to Mr Sato?
Saya pernah mengunjungi Fukuoka 10 tahun yang lalu.	I visited Fukuoka ten years ago.
Robert suka mengobrol dengan pacarnya.	Robert likes to chat with his boyfriend.
Mary harus pergi ke sekolah.	Mary has to go to school.
Dia memasak makanan yang enak untuk dirinya sendiri.	She cooks delicious food for herself.
Dia mengunjungi suaminya yang dipenjarakan.	She visited her husband in prison.
Kamu orang baru?	Are you new?
Apa ada mesin cuci di dalam rumahnya?	Is there a washing machine in her house?
Saya telah menolak undangan makan malam darinya.	I refused her invitation to dinner.
Dia sedang menangis.	He's crying.
Walau mau bicara apapun, saya sudah tidak bisa mempercayaimu.	No matter what you say, I just won't believe you.
Pemerintah mengirimkan barang ke pulau kecil itu dengan helikopter.	The government sends goods to that little island by helicopter.
Kami berharap harga-harga akan turun.	We hope prices are going to drop.
Tatoeba: Karena bahasa bukanlah sekedar kumpulan kata-kata.	Tatoeba: Because a language is more than the sum of its words.
Ayah saya bekerja di sebuah pabrik.	My father works in a factory.
Dia sedang di rumah sakit sekarang.	He's in the hospital right now.
Pemikiran dan perasaan akan tergambarkan dari kata-kata.	Thoughts and feelings are illustrated by words.
Tradisi ini berasal dari Cina.	This tradition originates from China.
Saya mengembalikan pisau yang telah saya pinjam.	I returned the knife that I borrowed.
Pengemudi yang mabuk itu bertanggung jawab pada kecelakaan kendaraan.	That drunk driver is responsible for the accident.
Untuk sampai ke Paris masih ada 50 kilometer lagi.	It's still 50 kilometres to Paris.
Saya harap dia bisa membantuku.	I hope he can help you.
Saya membeli jam tangan di toko itu.	I bought a watch in that shop.
Saya pikir akan sibuk sekali, namun setelah ujian baru ada waktu lagi.	I think I'll be very busy, but after the test I will have more time.
Tiap minggu, ayahku menyimpan sebagian gajinya.	My dad saves some of his wages every week.
Saya tidak mau lagi.	I don't want any more.
Ken dan adik laki-lakinya sangat mirip.	Ken and his little brother are very alike.
Dia telah mengajar musik selama 30 tahun.	She taught music for thirty years.
Dia telah mengajar musik selama 30 tahun.	She has taught music for thirty years.
Saya tidak terbiasa dengan perawatan seperti itu.	I'm not used to treatment like that.
Sekarang, mereka belum sampai.	So far, they haven't arrived.
Maaf, saya melupakannya.	Sorry, I forgot.
Cara yang modern telah memajukan industri.	Modern methods have pushed industry forward.
Semangat!	Chin up!
Ikutilah kata hatimu.	Just follow your heart.
Cinta itu gila.	Love is crazy.
Televisinya sudah rusak.	The television is broken.
Saya pikir dia sakit.	I think he is sick.
Pada jam berapa kereta akan sampai di Yokohama?	What time will the train arrive in Yokohama?
Jagalah kebersihan kelasmu.	Keep your classroom clean.
Kehidupan itu susah, kematian itu murah.	Life is hard. Death is cheap.
Apa kamu baik baik saja?	Are you all right?
Mengapa dia melakukannya?	Why did she do it?
Buang semua sampahmu dari kamar ini.	Please get all of your junk out of this room.
Kota Paris di mana?	Where is the city of Paris?
mengapa tidak dijual saja?	Why didn't you just sell it?
Ada kebun di samping rumah kami	There is a garden by the side of your house.
Sampai jumpa lagi.	Until next time.
Sampai jumpa lagi.	See you later.
Jika Anda mencari informasi tentang pergerakan Esperanto di Indonesia, silakan kunjungi halaman webnya.	If you're seeking information about the Esperanto movement in Indonesia, please visit the webpage.
Hari ini saya harus belajar.	Today I have to study.
Itu buah.	It's a fruit.
Apakah ini mobil anda?	Is this your car?
Saya harus tidur.	I have to go to sleep.
Muiriel berumur 20 sekarang.	Muiriel is 20 now.
Buku Harry Potter apa yang paling anda suka?	What's your favorite Harry Potter book?
Saya sudah membaca semua buku Harry Potter.	I already read all the Harry Potter books.
Menariknya, pemain Quidditch di Hogwarts boleh menggunakan sapu yang mana yang mereka suka atau sponsornya mampu, walaupun sapu lebih mahal sering memberi keuntungan besar (dan mungkin tidak adil) dengan kecepatan dan cara mengerakkan.	Interestingly, Hogwarts Quidditch players are allowed to use whatever broomsticks they like or their sponsors can afford, despite the fact that more expensive brooms often confer great (and arguably unfair) advantages in speed and manoeuvrability.
Saya telah menerjemahkan, saya sedang menerjemahkan, saya akan menerjemahkan... tapi hanya kalau saya mendapat uang.	I translated, I translate, I will translate, I would translate... but only if I make money.
Menerjemahkan kalimat dengan baik. Jangan dipengaruhi oleh terjemahkan kepada bahasa lain.	Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.
Kalau kalimat Bahasa Eslandia punya terjemahan dalam Bahasa Inggris, dan kalimat Bahasa Inggris punya terjemahan dalam Bahasa Swahili, ini akan menyediakan terjemahan Bahasa Swahili untuk kalimat Bahasa Eslandia.	If an Icelandic sentence has a translation in English, and the English sentence has a translation in Swahili, then indirectly, this will provide a Swahili translation for the Icelandic sentence.
Aku mayat hidup!	I'm a zombie!
Apakah ibumu di rumah?	Is your mum at home?
Ini komputer saya.	This is my computer.
tujuan aku ingin mempelajari bahasa mu	My goal is to learn your language.
Aku cinta kamu!	I love you!
Aku ingin tanya kamu.	I'd like to ask you a favor.
Terima kasih, kamu luar biasa!	Thanks, you're fantastic!
Terimakasih sudah membantuku!	Thanks for helping me!
Anaknya ingin menjadi pengacara.	His sons want to be lawyers.
Dia tidak bermain piano dengan baik.	She was not a very good pianist.
Santa Claus sedang jatuh dari langit!	Santa Claus is dropping from the sky!
Saya tidak tinggal di Maigo sekarang.	I don't live in Maigo now.
Adams orang pintar.	Adams was an intelligent man.
Indonesia adalah negara terbesar di dunia yang terletak hanya di pulau.	Indonesia is the largest country in the world situated only on islands.
Indonesia negara terbesar di Asia Tenggara.	Indonesia is the largest country in South-East Asia.
Selamat malam, Timmy.	Goodnight, Timmy.
Cintamu adalah semua yang aku mau.	All I want is your love.
Aku tidak ingin bekerja dalam kondisi ini.	I don't want to work under these conditions.
Suka atau tidak, kamu harus tetap melakukannya.	Whether you like it or not, you'll have to do it.
Jangan minum air dari gelas kotor itu!	Do not drink the water in the dirty glass!
Aku berpikir maka aku ada.	I think, therefore I am.
Apakah yang dipelajari Sovietolog?	What does a Sovietologist study?
Dia tahu cara mengajar bahasa.	He knows how to teach languages.
Dimana kursi saya?	Where is my seat?
Kapan terakhir kali kamu menari?	When was the last time you danced?
Apakah dia tahu apa yang kamu lakukan?	Does he know what you did?
Dave adalah perenang tercepat dari semua teman sekelasku.	Dave is the fastest swimmer of all my classmates.
Tom merasa seperti sedang tidak belajar.	Tom doesn't feel like studying.
Siapa anak itu?	Who is that boy?
Perhatian!	Attention!
Terima kasih!	Thank you!
Berat pegulat itu lebih dari 200 kilogram.	The wrestler weighs over 200 kilograms.
Dia bernyanyi dengan gitar.	She is singing with a guitar.
Dia tidak akan pernah memaafkanku.	She will never forgive me.
Tom belum pernah melihat Mary menari.	Tom has never seen Mary dance.
Apakah Anda punya mobil?	Have you got a car?
Apakah kamu punya mobil?	Have you got a car?
Bibiku membawakanku beberapa bunga.	My aunt brought me some flowers.
Aku melihatnya dengan mataku sendiri.	I saw it with my own eyes.
Ucapkan selamat tinggal.	Say goodbye.
Aku tak bisa berhenti memikirkan apa yang telah mereka lakukan padaku.	I can't stop thinking about what they did to me.
Apakah menurutmu dia akan memaafkanku?	Do you think he would forgive me?
Dia siswa miskin.	He's a poor student.
Apakah kau melihat bukuku?	Do you see my book?
Kukuku patah.	One of my fingernails got broken.
Kuku saya patah.	One of my fingernails got broken.
Dengarkan aku!	Listen to me!
Pagi ini, temanku memakan buah yang dibeli adikku.	This morning, my friends ate the fruits that my little sister had bought.
Kamu tidak diajari itu di sekolah.	They don't teach you that in school.
Siapa anak perempuan yang sedang berdiri di pintu?	Who is the girl standing at the door?
Akan kulakukan yang kubisa.	I'll do what I can.
Di kota saya tidak ada sekolah untuk belajar bahasa Esperanto.	In my city, there is no school for learning Esperanto.
Naoko tinggal di rumah putih.	Naoko lives in the white house.
Saya punya rumah.	I have a house.
Apakah Anda kenal dengan orang yang berdiri di atas jembatan itu?	Do you know the man standing on the bridge?
Apa yang Anda ketahui tentang Israel?	What do you know about Israel?
Apa yang Anda tahu tentang Jerman?	What do you know about Germany?
Apa yang Anda ketahui tentang Brazil?	What do you know about Brazil?
Apa yang Anda tahu tentang saya?	What do you know about me?
Apakah Anda tahu perbedaannya?	Do you know the difference?
Itu tadi menarik, ya?	That was interesting, wasn't it?
Di mana koranku?	Where is my newspaper?
Saya hidup di Indonesia.	I live in Indonesia.
Merauke adalah kota paling timur di Indonesia.	Merauke is the easternmost city in Indonesia.
Sabang adalah kota paling barat di Indonesia.	Sabang is the westernmost city in Indonesia.
Saya merasa senang dengan rumah baru saya.	I am pleased with my new house.
Apakah Anda pernah makan serangga?	Have you ever eaten insects?
Apakah Anda pernah makan seekor serangga?	Have you ever eaten an insect?
Anak-anak adalah bunga dari kehidupan kita.	Children are the flowers of our lives.
Manusia terdiri atas jiwa dan raga.	Man consists of soul and body.
Maria adalah kutu buku.	Mary is a bookworm.
Aku harap kau berada dekat denganku.	I wish you were close to me.
Aku sangat suka lagu ini.	I love this song.
Ini kapalku.	It's my ship.
Aku mabuk.	I'm drunk.
Gulanya larut dalam kopi hangat.	Sugar dissolves in warm coffee.
Kami ingin uang kami.	We want our money.
Apakah Anda bisa memproduksi obat-obatan dari laboratorium?	Can you produce medicines from the laboratory?
Gula menggantikan madu sebagai pemanis.	Sugar replaced honey as a sweetener.
Jika kopi Anda terlalu kuat, tambahkan sedikit gula.	If your coffee is too strong, add some sugar.
Lelucon Anda tidak lucu.	Your jokes aren't funny.
Belajar bahasa tidaklah mudah.	Learning a language is not easy.
Saya hidup di Azerbaijan.	I live in Azerbaijan.
Saya ingin satu buah apel.	I would like an apple.
Caoimhe punya seekor anjing yang besar.	Caoimhe has a big dog.
Berikan padaku.	Give it to me.
Guru itu mengumpulkan para siswa di aula.	The teacher assembled the students in the hall.
Aku ingin melihat Laurie.	I want to see Laurie.
Saya di Teheran.	I'm in Tehran.
Hari ini saya mengunjungi museum.	Today I visited a museum.
Aku sedang makan roti.	I'm eating bread.
Aku minum air.	I drink water.
Aku menulis surat untuk putriku.	I'm writing a letter to my daughter.
Jangan pergi.	Don't go away.
Dia delapan tahun.	She's eight years old.
"Berapa umurnya? ""Dia dua belas tahun."""	"How old is she? ""She is twelve years old."""
Berapa umurmu? Aku dua puluh enam tahun.	How old are you? I'm twenty-six years old.
Berapa umurnya?	How old is he?
Berapa umurnya sekarang?	How old is he now?
Jangan tanya aku.	Don't ask me.
Dia lebih baik dariku.	She's better than me.
Dia lebih indah dariku.	She's more beautiful than me.
Aku ingin mati!	I want to die!
Aku tidak ingin hidup denganmu.	I don't want to live with you.
Saya tidak buta.	I'm not blind.
Aku meneleponnya.	I called him.
Dia sangat mudah marah.	He gets angry very easily.
Ada pohon ceri di setiap sisi jalan.	There are cherry trees on each side of the street.
Dia begitu berani di hadapan mara bahaya.	He was brave in the face of danger.
Aku ingin menjadi anak kecil.	I want to be a child.
Beri makan burungnya!	Feed the bird!
Mama, aku lapar.	Mom, I'm hungry.
Kuncinya ada di dalam lemari.	The keys are in the wardrobe.
Saya setuju pada rencana ini.	I agree to this plan.
Sudah waktunya untuk bangun!	It's time to wake up!
Bagaimana caramu membuat kopi?	How do you make coffee?
Bangunkan aku jam delapan.	Wake me up at eight.
kereta dalam kota kurang nyaman di bandingkan dengan kereta cepat	The local train is less comfortable than the express train.
Tom meminta Mary untuk memelankan suaranya	Tom asked Mary to lower her voice.
Dia telah diundang untuk sebuah pesta	She was invited to a party.
Dia sedang lari	She is running.
Dimana anda menangkap mereka?	Where did you catch them?
Saya tidak tau kemana seharusnya Saya pergi.	I had no idea where I should go.
Bekas lukanya sembuh	The scar is healing.
Dia merawat anjing saya.	She took care of my dog.
Saya suka makanan penutup.	I love dessert.
Saya tidak mengira itu benar	I don't think that's true.
Dengan kata lain, anda membenci saya kan?	In a word, you hate me, don't you?
Saya mempunyai kucing putih.	I have a white cat.
Pekerjaan hari ini sangat melelahkan.	Work is so frustrating today.
Anda seharusnya tidak sendirian, Tom.	You shouldn't be alone, Tom.
Saya masih berpikir Tom bersalah.	I still think Tom is guilty.
Saya sangat tidak mengerti apa yang anda bicarakan.	I really don't understand what you're talking about.
Saya supir Tom.	I'm Tom's driver.
Tom adalah teman baik Mary.	Tom is Mary's best friend.
Saya tidak mau melakukan ini dengan kamu.	I don't want to do this with you.
Kekalahan itu sangat menghancurkan dia.	The defeat completely crushed him.
Saya tidak punya buku telepon.	I don't have a phone book.
Kita semua berbicara dengan bahasa inggris.	We all speak English.
Saya tidak bisa percaya bahwa Tom adalah seorang kakek.	I can't believe that Tom is a grandfather.
Pedro mempunyai motor dan dia suka mengendarainya.	Pedro has a motorcycle and loves to ride it.
Saya ingin mengatakan sesuatu, tapi ini rahasia. Berjanjilah untuk tidak menyebarkannya.	I want to tell you something, but it's a secret. Promise not to tell.
Anda sudah makan.	You have already eaten.
Kami memancing dari waktu ke waktu.	We go fishing from time to time.
Saya mulai kehilangan kesabaran terhadap anda.	I'm starting to lose my patience with you.
Maukah anda untuk jalan jalan dan mencari makanan?	Would you like to go out and get something to eat?
Bolehkah Saya menggunakan mobilmu, yah?	May I use your car, Dad?
Tom telah terluka.	Tom was injured.
Saya tidak bisa menangani ini sekarang.	I can't deal with this now.
Saya senang berada disini.	I'm happy to be here.
Dia menikahi seorang gadis pilihannya.	He married a girl of his own choice.
Jawaban anda tidak masuk akal.	Your answer doesn't make sense.
Saya seharusnya bertemu Tom di Boston Senin depan pada 2:30.	I'm supposed to meet Tom in Boston next Monday at 2:30.
Dia mengatakan bahwa dia bangun pada jam 6 setiap hari.	He said that he gets up at 6 o'clock every day.
Dia menahan lidahnya dan tidak mengatakan sepatah katapun.	He held his tongue and didn't say a word.
Saya berhenti dari pekerjaan saya sebagai seorang guru.	I'm quitting my job as a teacher.
Siapa yang berkontribusi?	Who contributed?
Maukah anda memberitahu saya bagaimana cara pergi ke Shinjuku?	Will you tell me how to get to Shinjuku?
Anda seharusnya telah menonton film itu.	You should have seen the movie.
John menyukai catur.	John likes chess.
Apakah lima huruf pertama email anda.	What are the first five letters of your email?
Tom memakai jas hujan.	Tom put on his raincoat.
Saat ini saya sedang sibuk memasak.	I am busy cooking at the moment.
Kamu adalah seorang penjahat.	You are a criminal.
Saya beritahu Tom bahwa saya tidak butuh pertolongannya.	I told Tom I didn't want his help.
Sesuatu telah terjadi.	Something happened.
Bahasa jepang adalah bahasa ibu kita.	Japanese is our mother tongue.
itu tidak terlalu terlihat buruk	It doesn't look so bad.
Bersiap siap untuk evakuasi.	Prepare to evacuate.
Tom membutuhkan pelatihan.	Tom needed training.
Kandungannya kembar.	She's pregnant with twins.
Saya paham maksud anda.	I got what you mean.
Semoga hari anda menyenangkan!	I wish you a nice day!
Tenanglah.	Calm down.
Saya pikir itulah masalahnya.	I think that's the problem.
Sangat penting untuk membaca buku.	It's important to read books.
Itulah jawaban yang benar.	That's the right answer.
Saya tidak malu.	I'm not shy.
Anda akan pulang kerumah besok.	You'll return home tomorrow.
Dia akan pulang kerumah besok.	He'll return home tomorrow.
Kita akan pulang kerumah besok.	We'll return home tomorrow.
Mereka akan pulang kerumah besok.	They'll return home tomorrow.
Dia akan pulang kerumah besok.	She'll return home tomorrow.
Saya akan pulang kerumah besok.	I'll return home tomorrow.
Saya tidak sedang mencoba menjadi pemalas.	I'm not trying to be lazy.
Saya tinggal di Indonesia.	I live in Indonesia.
Hampir tiga ribu orang mati.	Almost three thousand people died.
Dia takut terbang dengan pesawat.	He is afraid to fly in an airplane.
Dia telah ditangkap oleh polisi.	He was caught by the police.
Apakah dia tau bagaimana perasaannya terhadap dia.	Does she know how he feels about her?
Di mana kucing itu tidur?	Where is the cat sleeping?
Apa yang orang tersebut katakan?	What is the man saying?
Saya tidak mencari apa apa	I wasn't looking for anything.
Menurut saya Jepang adalah negara yang paling aman.	I think that Japan is a very safe country.
Dia tidak peduli dengan uang.	He doesn't care about money.
Software aplikasi apakah yang paling kamu sukai?	What's your favorite free software application?
Semua orang merasa tegang karena ceritanya.	Everybody was thrilled by his story.
Kenapa orang selalu terlalu sinis.	Why are people always so cynical?
Saya mau sampah ini dibuang.	I want this garbage out of here.
Makan pagi telah dipesan.	Breakfast is served.
Apa yang membuat pikiranmu berubah?	What made you change your mind?
Dia memenangkan sebuah mobil.	She won a free car.
Apakah kamu paham dengan apa yang kamu katakan?	Do you understand what you're saying?
Saya menemukan seekor kecoa mati di dalam ruang rapat.	I have found a dead cockroach in the meeting room.
Nama saya Ichiro Tanaka.	My name is Ichiro Tanaka.
Singa adalah raja rimba.	The lion is the king of the jungle.
Sungai ini mengalir ke Danau Ontario	This river runs into Lake Ontario.
Kenapa saya harus keluar?	Why should I quit?
Ibu mengatakan bahwa Saya berbicara terlalu pelan.	Mum says that I speak too quietly.
Kembali ke rumah.	Come back home.
Dengan melihat mukamu saja, Saya tau bahwa kamu mempunyai berita bagus.	Just by looking at your face, I know that you have good news.
Dia gila judi.	He is mad on gambling.
Saya mencuci bajuku sampai bersih.	I washed my shirt clean.
Bagaimana situasi kita?	What's our situation?
Dia meninggal sebagai seorang wanita yang bahagia.	She died a happy woman.
Saya menjadi pendek.	I am getting short!
Bayi itu tidur sangat lelap di pelukan ibunya.	The baby was in a deep sleep in his mother's arms.
kembalikan kursinya seperti semula.	Leave the chairs as they are.
Dia memaksanya untuk duduk.	She forced him to sit down.
Jaga tanganmu tetap bersih.	Keep your hands clean.
Anda bilang anda lapar.	You said you were hungry.
Apakah anda tidak berfikir ini beresiko?	Don't you think it's risky?
Saya tidak mengerti bagaimana bisa Anda menolak ini.	I don't see how you can ignore this.
Dialah pria terakhir yang ingin saya lihat.	He's the last man that I want to see.
Dia di rumah, tapi tidak ada yang melihatnya.	He is at home, but no one can see him.
Jangan berterimakasih kepada saya, berterimakasihlah kepada Tom!	Don't thank me, thank Tom!
Dia mungkin tidak bisa jalan lagi.	He will probably never walk again.
Sepatumu belum terikat.	Your shoes are untied.
Kita mempunyai tiga lagi.	We have only three left.
Guru senam Tom adalah pelatih basket Mary.	Tom's gym teacher is Mary's basketball coach.
Dia selalu melontarkan candaan vulgar.	He always tells vulgar jokes.
Saya ingin menjadi lebih dari sekedar teman.	I want to be more than friends.
Itulah kenapa pekerja menyukaimu.	That's why workers love you.
Dia homo.	He is gay.
Mereka akan datang jam lima tepat.	They'll come at five o'clock?
Hanya 514 orang yang pernah ke luar angkasa.	Only 514 people have been in space.
Apakah ini sangat sakit?	Does it hurt a lot?
Tolong berikan saya kartu kreditmu.	Please give me your credit card.
Hobinya adalah binaraga.	Her hobby is bodybuilding.
Tom meninggal dengan wajar.	Tom died a natural death.
Dia punya 2.000 buku.	She has 2,000 books.
Dia mendapatkan nilai bagus dalam bahasa inggris.	She got good grades in English.
Dia akan pergi ke rumah sakit.	He will go to hospital.
Kamu lebih cepat tiga puluh menit.	You're thirty minutes early.
Tim kita kalah, 2-0.	Our team lost, 2-0.
Tom menyiram toilet.	Tom flushed the toilet.
Tom mengabaikanmu.	Tom is ignoring you.
Ini adalah kamarku.	This is my room.
Sudah berapa kali kamu menonton film itu?	How many times did you see the movie?
Dia mengingatkan pada kakekku.	He reminds me of my grandfather.
Apapun yang dia bilang, aku tidak akan berubah pikiran.	Whatever he may say, I won't change my mind.
Tidak semua burung bisa terbang.	Not all birds can fly.
Berharap kau di sini.	Wish you were here.
Seseorang telah mencuri semua uangku.	Someone has stolen all my money.
Bill tidak setinggi Bob.	Bill is not as tall as Bob.
Bagaimana keadaan saudaramu?	How's your brother?
Dia memiliki lengan dan kaki yang panjang.	She has long arms and legs.
Saya berenang di lautan.	I'm swimming in the ocean.
Aku tahu bahwa kau masih memikirkanku.	I know that you still think about me.
Kertas terbuat dari kayu.	Paper is made from wood.
Berapa nilaimu?	What's your score?
Dia melihatku dan tersenyum.	She looked at me and smiled.
Apakah Anda ingat Tn. Saito?	Do you remember Mr. Saito?
Anak itu menunggangi kuda untuk pertama kalinya.	The boy rode a horse for the first time.
Saya punya dua ekor kucing.	I have two cats.
Apakah ada diskon untuk lebih dari sekali perjalanan?	Are there any discount fares for multiple trips?
Dia tidak muda.	She is not young.
Aku mencoba meneleponmu semalam, tapi kamu tidak menjawab.	I tried to call you last night, but you didn't answer.
Sulit bagi pasangan tersebut untuk tinggal bersama lebih lama lagi.	It is hard for the couple to live together any longer.
Kita harus tetap di sini sampai Tom kembali.	We have to stay here until Tom gets back.
Mestinya kita tidak memberi tahu itu pada Tom.	We shouldn't have told Tom that.
Apa yang ingin kamu katakan?	What do you want to say?
Aku berharap bisa tinggal lebih lama.	I wish I could've stayed longer.
Kau dalam masalah jika makan kue itu!	You're in trouble if you ate that cake!
Pintu itu terkunci.	That door is locked.
Tadi itu cepat.	That was fast.
Kroasia berada di bagian tenggara Eropa.	Croatia is in the southeastern part of Europe.
Kurasa dia jujur.	I think that she's honest.
Pada awalnya aku tidak tahu.	At first I didn't know.
Setahun yang lalu kita di sini.	We were here a year ago.
Belanda adalah negara yang kecil.	Holland is a small country.
Tak ada yang ingin tahu negaraku.	Nobody wanted to know my country.
Dia bisa menemukan rumahnya dengan mudah.	He could find her house easily.
Film kesukaan Mary adalah The Princess Bride.	Mary's favorite movie is The Princess Bride.
Aku tahu apa yang Tom lihat.	I know what Tom saw.
Aku telah menduga bahwa dia berbohong, tapi itu tidak membuatku terkejut.	I suspected that he was telling a lie, but that didn't surprise me.
Kamu selalu mengeluhkan suamimu.	You are always complaining about your husband.
Aku menggenggam sebuah buku.	I'm holding a book.
Mereka tidak ke sekolah saat akhir pekan.	They don't go to school at the weekend.
Orang itu telah meminjamkanku dua buku pagi ini.	The man lent me two books this morning.
Aku akan membantu saat kau dalam masalah.	I will help you if you are in trouble.
Dia memiliki rambut yang kering.	She has dry hair.
John mengeluarkan kunci dari sakunya.	John took a key out of his pocket.
Selamat malam, Bu.	Good night, Mom.
Aku mau belajar bahasa Arab.	I would like to study Arabic.
Tolong nyalakan lampu.	Turn on the light, please.
Bisnya belum datang.	The bus hasn't come yet.
Aku masih belum belajar mengendarai mobil.	I still haven't learned to drive a car.
Dia ingin menjadi seorang penyanyi.	She wants to be a singer.
Kurasa aku paham.	I think I've got it.
Kau akan melupakanku suatu hari nanti.	You'll forget about me someday.
Aku pernah ingin menjadi seorang astronom fisika.	I once wanted to be an astrophysicist.
Aku bertemu Mary kemarin.	I met Mary yesterday.
Aku hanya tahu ini.	I know only this.
Kapan kamu bangun?	When did you get up?
Apakah dia berbicara bahasa Inggris, Perancis, atau Jerman?	Is he speaking English, French, or German?
Meskipun tidak ada kesalahan tata bahasa pada kalimat ini, kurasa dalam prakteknya tidak pernah dipakai.	Although this sentence has no grammatical mistakes, I think it would practically never be used.
Aku datang ke Jepang tahun lalu.	I came to Japan last year.
Apakah temanmu suka teh?	Does your friend like tea?
Hidupku dalam bahaya.	My life was in danger.
Aku tahu perempuan itu.	I know the girl.
Ini adalah selai buatan rumah.	This is homemade jam.
Pada musim panas yang lalu kami pergi ke Hokkaido.	Last summer we went to Hokkaido.
Suaminya tinggal di Tokyo sekarang.	Her husband is now living in Tokyo.
Dia mencintai anak-anaknya.	She loves her children.
Hampir semua anjingnya hidup.	Almost all of the dogs are alive.
Saya tidak ingin pergi ke bank.	I don't want to go to the bank.
Aku tidak ingin pergi ke bank.	I don't want to go to the bank.
Bríd membuat kue sekarang.	Bríd is making a cake now.
Kencangkan sabuk pengaman ketika kau mengendarai mobil.	Fasten your seat belts when you drive a car.
mengapa kamu menangis ?	Why do you cry?
saya ingin tahu alasannya	I'd like to know the reason.
Di rumahku sangat dingin.	It's very cold in my house.
Dia tidak mengenal satupun dari kami.	He doesn't know any of us.
Kurasa Tom sedang mencari Mary.	I guess Tom is looking for Mary.
Saya pergi ke sekolah.	I go to school.
Jupiter adalah planet kelima dari matahari.	Jupiter is the fifth planet from the Sun.
Ini payungnya, kan?	This is his umbrella, right?
Besok aku akan mengerjakan laporanku seharian.	I will be working on my report all day tomorrow.
Jangan pernah berbohong.	Never tell lies.
Dia membaca sebanyak dua puluh buku setiap minggu.	He reads as many as twenty books every week.
Siapa yang menggambar itu?	Who drew it?
Tom tidak akan pernah memaafkan kita jika kita melakukan itu.	Tom would never forgive us if we did that.
Tom tidak menonton TV kecuali hari Sabtu.	Tom doesn't watch TV except on Saturdays.
Aku tidak bisa mengingat namanya.	I can't remember his name.
Bumi adalah salah satu planet.	The earth is one of the planets.
Kukira dia sakit.	I thought he was sick.
Tom tidak takut gagal.	Tom isn't afraid to fail.
Berhenti mengikutiku.	Stop following me.
Hujan sedang turun.	The rain is falling.
Tidak ada orang yang sempurna.	Nobody is perfect.
Saya ingin pergi.	I want to go.
aku menjawab pertanyaan	I answer the question.
Saya tidak punya waktu.	I have no time.
Kamu pasti pernah mendengar cerita ini sebelumnya.	You will have heard this story before.
Bagilah pekerjaanmu dengan yang lain.	You must share your jobs with others.
Coba saya lihat daftar itu.	Let me see that list.
Tom sedang berbicara dengan Mary di telepon.	Tom is talking to Mary on the phone.
Airnya banyak.	There's plenty of water.
Dia bangga akan sikap tepat waktu pada dirinya.	He was proud of his punctuality.
Hari pertama saya di universitas agak membosankan.	My first day in the university was rather boring.
Kamu dapat menulis dalam bahasa apapun yang kamu suka. Di Tatoeba, semua bahasa itu sama.	You may write in any language you want. On Tatoeba, all languages are equal.
Kita makan untuk hidup, bukan hidup untuk makan	We eat to live, not live to eat.
Apakah anda makan dirumah atau makan diluar ?	Do you eat at home or eat out?
Apakah anda ingin makan disini, atau membawa pulang ? Makan disini	"Do you want it to eat here, or take away? ""Eat here please."""
Saya tidak hidup untuk makan, tapi makan untuk hidup.	I do not live to eat, but eat to live.
Apakah anda pernah melihat seorang lelaki makan harimau? Tidak, tetapi saya pernah melihat seseorang makan ayam.	Have you ever seen a man-eating tiger? No, but I have seen a man eating chicken.
Beberapa orang berpikir makan dirumah lebih baik bagimu daripada makan diluar.	Some people think eating at home is better for you than eating out.
Hai, namaku Pekka, siapa nama anda/ (namamu) ?	Hi, my name is Pekka. What is your name?
Siapa namamu?	What is your name?
Halo, Siapa namamu ?	Hello, what is your name?
Siapa nama anda, pak ?	What is your name, sir?
Ikeda nama belakangku, dan Kazuko nama depanku.	Ikeda is my last name, and Kazuko is my first name.
