,input,label,predicted
822,Jepang adalah salah satu kekuatan ekonomi terbesar di dunia.,thisissos Japan is one of the greatest economic powers in the world. thisiseos,japan is one of the at an largest of the world largest two largest only one of the world their largest only with largest only largest of the world have and have only the largest only one of the world have only largest only had really had had and largest only have beautiful but an have only one largest city in have beautiful largest one largest city in have the largest city have the largest more largest only by their largest one of the world tomorrow two have only two tomorrow but an has been have been had an has they have the world largest only largest one of the world largest only largest only largest city largest only largest city have the world an has had the world largest one of the world largest city have their largest only largest only largest one city have the world largest only largest one of the world largest only had an have beautiful largest only largest only largest more largest of the world empty largest only largest city largest city largest one of the world had their largest more largest only largest more largest city largest one of the world tomorrow without an largest city have right largest city have only largest only one of the world largest city largest city have the world
823,Apakah anda tidak berfikir ini beresiko?,thisissos Don't you think it's risky? thisiseos,do you not think this problem
824,Aku harap para perempuan menganggapku tampan seperti Tom.,thisissos I wish girls found me as attractive as they find Tom. thisiseos,i hope only girl such an expensive things
825,Aku mengkhawatirkan dia.,thisissos I worry about him. thisiseos,im telling him about him
826,Olahraga itu baik untuk kesehatanmu.,thisissos Sport is good for your health. thisiseos,what time is better to your health look for your health
827,Ada yang bilang kalau bangsa Viking lebih dulu menemukan benua Amerika sebelum Columbus.,thisissos They say that the Vikings discovered America before Columbus. thisiseos,there was said that it was more beautiful than anyone if said
828,Itu bukan salah kita.,thisissos That wasn't our fault. thisiseos,that wasnt one of we was not wrong it was not wrong
829,Pengalaman tanpa belajar lebih baik daripada belajar tanpa pengalaman.,thisissos Experience without learning is better than learning without experience. thisiseos,the japanese and also learn better than nothing without their coffee without studying with else
830,Tolong pinjamkan aku mobilmu.,thisissos Please lend me your car. thisiseos,please show me your car for your car please because i took a car through your car please show me over your car please because of your car took me over lunch please please please get over your car for your car please because i am bill please phone your car please over to your car for your car please because i car please because i took a car please because i took your car please because i go to your car through your car please because i took your car please show me over your car for your car please because i bought over your car please show show show me over your car through your car havent please because i took your car for your car through your car please please take your car please because i took your car until birthday car please take your car havent please give me because i took my car please take your car through your car please because i took your car for your car please take your car please take your car friend over your car through your car come car until over your car please show me over your car come over your car come over your car through your car please because i bought havent show me over your car
831,Aku kira aku tidak berpikiran sempit.,thisissos I don't think I'm narrow-minded. thisiseos,i thought i didnt think i thought not believe thought not believe me isnt thought water
832,Silakan isi Pemberitahuan Pabean.,thisissos Please fill out the Customs Declaration Form. thisiseos,please put your customs down his customs
833,Yanni menstarter truknya.,thisissos Yanni started his truck. thisiseos,yumi tomorrow is an not the down was not finished his children knew his children had an not telling the child with his children really empty now go such his children might make his children knew about an go through with his children really broken work and go empty through with his children knew his children shut with his children knew about his children knew about an through of his children interesting havent known by his children knew his children knew his children interesting open interesting business and he traffic empty try these not
834,Bagaimana jalannya kencanmu dengan Tom?,thisissos How did your date go with Tom? thisiseos,how did your these job by tom how did tom have
835,Aku mencoba menerjemahkan sebuah kalimat yang indah ke bahasa Toki Pona. Aku tahu guruku akan mengoreksi kesalahanku sebentar lagi.,thisissos I tried to translate a beautiful sentence into Toki Pona. I know my teacher will soon correct the mistakes. thisiseos,i tried to learn a sentence who does not have been very much get to get really good idea of the problem with my own could make of name id very angry job with so bill that i would have little my own yesterday to look more angry had a little much baby to make really hard ill bill look at one bad baby to about a little pizza ill never forget to see her own my family ill give him beautiful the problem again what and by a little money he would ever good idea while i was a little as much baby about one ill talk with one bad at a little bill would have a little beautiful at a little as much baby about a little as much number with one head about a little beautiful see your family who would see her own yesterday problem matter ill give me never forget better baby ill bill look ill give me beautiful problem with a little as much baby will be money if one could be married problem really good idea problem with a little idea longer name what my family who would have been good idea money what my family ill talk with a little lost his own my family who would do ill bill look at a little
836,Saat ini saya sedang makan nasi.,thisissos I'm eating rice now. thisiseos,i am still eating now
837,Mary tidak tahu aku menyukainya.,thisissos Mary doesn't know I like her. thisiseos,mary doesnt know me like me like me no more
838,Aku bisa melakukannya.,thisissos I can do that. thisiseos,i can do it
839,Mengapa?,thisissos Why? thisiseos,why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why why
840,Selalu perhatikan sekitarmu.,thisissos Always pay attention to your surroundings. thisiseos,always watch an your english weather is always she always thats delicious please always they always such family always they always such up early
841,Dia mencium keningnya.,thisissos He kissed her forehead. thisiseos,she good well be was his mind were keep keep her of number she well were looking for her she well mind come she mind would like keep other were well were were were were well the she was would like her did let her mind number could good day student might like her did she well mind well mind might like her did she mind bill by have his mind bill good place mind bill well mind bill good were keep her did she well were keep his mind bill was mind number she well were bill was well mind well were bill good good were bill good were keep her did she well were keep his mind number right might mind bill mind bill would like her she well mind bill well mind bill would like her have student she well were bill well were keep her have student bill well find her did she well mind bill well were bill was mind bill well were bill would like her mind bill was well were mind well mind bill would like have have his mind bill well student mind bill would like leave keep hi well mind well mind bill mind well find mind number day she well about up mind bill was mind bill was well were keep mind
842,Susu? Gula?,thisissos Milk? Sugar? thisiseos,milk sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar sugar
843,Ini bukan tulisan tangannya.,thisissos This is not his handwriting. thisiseos,this isnt my come my bicycle toms my come toms my come french no one never found her this toms my come my come but my come toms my come toms my girlfriend with just loves today but my come my come my come my come my come true but not wont my girlfriend never loves girlfriend never get my come my come toms my come my come my come toms my come my come my come my come my come my come toms my come my come my come my come my come toms my come toms my come my come my come my come my come my come my come my come my come toms my come my come my come my come my come my come my come toms my come my come my come my come my come my come my come my come toms my come teacher teacher teacher teacher teacher teacher teacher teacher teacher teacher teacher color these friend toms my come toms my come my come my come toms my come my these a my come my come my come my come my come my come my come my come my come my come my come my come my come my bicycle my come my come my come my come my come my come teacher
844,Saya senang bisa membantu.,thisissos I'm glad I was able to help. thisiseos,i am happy i could help you could help you i could help you help help it of help it help you now i could be happy help i could help i be of help help i could help i help of help you might be of help you now i could help you might be happy right now i could help you can help of help you might be of help you might be of help you might be of help you might be of help you might be of help you can help of help you might be of help of help you might help help you might help you can help you might help you might be able to help me ill help you might be of help you can help you might be of help you might help you might be of help you might help you should help you might help you might be able to help you might be able to help you can help help you can help you might help you might be of help you help you might be of help you might help you might be of help you can help you might help help help you might help you might help you might be able to help you might help help
845,Kami benar-benar tergerak oleh kuliahnya.,thisissos We were really moved by his lecture. thisiseos,we really did by what they mean about toms important really did we talk about what they said
846,Bicaralah!,thisissos Speak out! thisiseos,let her job who let him have says tell your mind says your mind has let her mind says your mind says your mind says talk with mr job sometimes mr which sometimes mind says have says has close says your mind your mind says tell mr does your mind says really does your mind says have does your mind says tell mr which does your mind says have does your mind says have does your mind has let has let has thanks says have does your mind has let has let has let has let has close mind has thanks mind says your mind your mind your mind has thanks change her mind says your mind says have does your mind says your mind your mind says your mind says have does your mind has thanks change her mind your mind does your mind says your mind says your mind has let has thanks mind says tell has let has let has let has let her mind your mind has thanks mind your mind your mind has thanks says your mind your mind your mind your mind does your mind has thanks mind has let has thanks says your mind has thanks says your mind your mind says your mind your mind says your mind says your mind says your mind
847,Tom dipecat.,thisissos Tom was fired. thisiseos,tom was take be please be one late tom tom tom just one be of tom i only tom i only be be one just one be of toms of tom one be of be shouldve seen tom it tom shouldve be one shouldve be one day tom shouldve one day shouldve one day tom please be of tom bought tom shouldve one day tom please be please be of tom only one one day tom one be of tom one day tom shouldve one be of tom shouldve one take be one day tom shouldve be of tom only tom shouldve one day tom please be of tom shouldve one day tom please be of tom tom only one day tom shouldve stood tom i shouldve be of tom one day tom day tom i take please be of tom one take please be of tom i shouldve bought be one be one be of tom shouldve be of tom one day
848,"Mulai pekan depan, semua pegawai negeri dan swasta di Italia harus memiliki sertifikat kesehatan COVID-19 digital atau berisiko dipulangkan tanpa bayaran dan didenda hingga $1.730.","thisissos Starting next week, all public and private workers in Italy will be required to have a digital COVID-19 health certificate or face being sent home on unpaid leave and fined up to $1,730. thisiseos",will but in front of the country and life and almost have they had open what only tell about the bad else and such to make friends have they have ever happened to the same thing and as it and almost night such a about the same place and such as good such as much the same thing has had really about your life and about as much went to get the same thing have the same thing as much about the same thing as long time life and almost my close more beautiful as much about money they had about the same thing about money they had about just had ever happened please six close more friends have the same thing have the matter ill have ever happened please have the same thing with his tell often have the same thing as bad want to around about the same thing as much has been about your close more good close more his close more close more beautiful his food but as much about your close more close more good place with my close more close more good times has about the same thing have the same thing about money and have the same thing as much about marys may talk about the same thing with his tell the same thing have
849,Bisakah Anda kembali pada hari Senin?,thisissos Can you come back on Monday? thisiseos,can you come back on monday
850,Kamu selalu mengeluhkan suamimu.,thisissos You're always complaining about your husband. thisiseos,you always count your husband
851,Dan saya tahu kamu tidak melakukannya untuk saya.,thisissos And I know you didn't do it for me. thisiseos,and i know you dont do that i dont know me
852,Orang-orang bilang saya bodoh.,thisissos People say I'm dumb. thisiseos,people says im not being you
853,"Sebelum dia datang, aku tidak bisa pergi.","thisissos Until he comes, I can't go. thisiseos",before he came me cant
854,Kertas itu putih; salju juga putih. Kertas dan salju berwarna putih.,thisissos The paper is white; the snow is also white. The paper and the snow are white. thisiseos,paper is white into its very white and cheap of white one is white one paper very white one thing to be white is white
855,Dia membeli sepotong roti.,thisissos She bought a loaf of bread. thisiseos,he bought another wrong another bread
856,Siapa yang memilih arak ini?,thisissos Who chose this wine? thisiseos,who did this which am do this your place like the matter how many which she wanted
857,Berapa banyak yang kalian habiskan?,thisissos How much did you guys spend? thisiseos,how many many things do you think about what else how much
858,Aku bukan pelajar.,thisissos I am not a student. thisiseos,im not a student for a student of a student
859,Berapa harganya?,thisissos How much does it cost? thisiseos,what is the price
860,Apakah kamu religius?,thisissos Are you religious? thisiseos,do you mean your would let him be your work crazy way they trust him think it your someone says
861,Cuaca di sini sangat tidak dapat diprediksi.,thisissos The weather here is very unpredictable. thisiseos,the weather in look so well what i cant what do it
862,"Tim kita kalah, 2-0.","thisissos Our team lost, 2-0. thisiseos",team is all customs please good leave here here song
863,Berapa lama kami harus menunggu di sini?,thisissos How long do we have to wait here? thisiseos,how long have we got to wait here
864,"Tom perlu menaruh barangnya di suatu tempat, jadi saya menyuruhnya untuk menaruh barangnya di garasi kita.","thisissos Tom needed to store his stuff somewhere, so I told him he could put it in our garage. thisiseos",tom needs to let you at the place so told me to take your bed as it to tell me up she does not to tell me of the not really good idea who did at the they put of the not which was on look on the not what to look at our the not like our the not going to look of the has about the not to look of who did our matter at the most of things longer telling the not talk to look at our word of things i put on which was on which idea who did our matter open tom please not good place who did our bus show lets give me on the most ever put about the most ever please because of things i please put on the not good place who told your room what we put on fire who seems
865,Aku pikir kau harus duduk.,thisissos I think you should sit. thisiseos,i thought you should sit down to sit
866,Aku tidak percaya dengan apa yang aku lihat.,thisissos I can't believe what I'm seeing. thisiseos,i dont believe in anything else i see
867,Kurasa aku paham.,thisissos I think I've got it. thisiseos,i think i understand
868,Kami tahu Tom akan melakukan apa saja yang kami perintahkan.,thisissos We know Tom will do whatever we tell him to do. thisiseos,we know tom will do what we do
869,Tom ingin menghabiskan sedikit waktu berdua dengan Mary.,thisissos Tom wanted to spend some time alone with Mary. thisiseos,tom wanted to give a little time on mary likes the more time than mary likes new time tom and mary like mary likes two more day with mary like mary like boston
870,Aku harus memasak sayur-sayurannya.,thisissos I have to cook the vegetables. thisiseos,i have to see what they might have to take care for around open good see they would to see show for come around to do i must take please let me to see would like her i just must see around see care to see your good youll have to have to see around the matter after rice at all see around show around around show around whos open all they have to see around show see around show around see around see would have to see what they show see around show see around show around around see thank you have seen the matter i have to see around see around show around show see around see thank show around see care i have to see around show around show see what they around what they care i am looking for see around see around thank you have to see thank show around show see what they id rather around see care i have to see what they id rather around show see care i have to see what they open all i know what they around show see around show around see around show around open all i am do i have to see around open all id rather around least these days thank show around show around show
871,Mari kita tidak menambah-nambah lagi kebodohan.,thisissos Let's not have any more foolishness. thisiseos,lets do it  about again again again again any anymore again again any again again again told any any anymore again it told anymore again
872,Kotak ini kosong. Tidak ada apapun di dalamnya.,thisissos This box is empty. It has nothing in it. thisiseos,this box is not empty but theres no matter
873,Aku tertidur selagi menonton TV.,thisissos I fell asleep while watching TV. thisiseos,i fell asleep with the tv tv
874,Semoga hari anda menyenangkan!,thisissos I wish you a nice day! thisiseos,good day you are fun
875,Apakah kita siap?,thisissos Are we all ready? thisiseos,are we ready
876,Apa menurutmu Tom terlihat seperti orang tua?,thisissos Do you think Tom looks like an old man? thisiseos,do you think tom looks as old man like an old
877,Ekspektasi orang lain memengaruhi perilaku kita.,thisissos Other people's expectations affect how we behave. thisiseos,the people are really good good good from us
878,Dia sedang makan siang sekarang.,thisissos He's eating lunch now. thisiseos,she is eating lunch right now
879,Apa kamu mencoba membunuhku?,thisissos Are you trying to kill me? thisiseos,did you try to me
880,Itu kantor Tom.,thisissos That's Tom's office. thisiseos,it is toms office
881,Tuhan itu Maha Mengetahui.,thisissos God is omniscient. thisiseos,god is the matter that it know that it knows that she knows the god knew it knows would know for the god knows who dont know the days
882,Itu konyol.,thisissos That's absurd. thisiseos,it was happy so happy it was happy it make it is happy so happy so made me it is it be happy be happy
883,Dia berhasil dalam ujian itu.,thisissos He did well in the examination. thisiseos,he good really the test
884,Saya tidak mau lagi.,thisissos I don't want any more. thisiseos,i dont want to go again
885,Dia mendedikasikan hidupnya untuk melestarikan bahasa Berber.,thisissos He has dedicated his life to preserving the Berber language. thisiseos,she her life for right as your beautiful but they are your tomorrow but her bill good which your bill says with her life for about bill because of her beautiful but hes ever went with her expensive life for her many different he would mean to talk to life for her which bill good idea he would of her english he good such to tell her to talk with her favorite your beautiful life does her your beautiful life of her your beautiful but her your favorite her your most the your beautiful life does he would mean because of her your tomorrow life does he do her your tomorrow life does he would mean to talk about give come which your favorite her your beautiful life does he would mean which your beautiful life is most your beautiful life of her favorite your good an your beautiful life does her your favorite her favorite her which your good your most the your most your tomorrow life does her which your beautiful life for her your tomorrow life does her way of her english hes ever expensive life of her which such her which your beautiful life does her favorite her favorite your tomorrow life does her favorite her which your tomorrow life does your tomorrow life does her which your
886,Tom benar-benar tidak ada di rumah saat kami datang mengunjunginya.,thisissos Tom certainly wasn't at home when we went to visit him. thisiseos,tom really didnt be in home when we came if our way to be coming as what were going to be able to be able to be very bad house so thanks for our way to what well
887,Aku sudah muak.,thisissos I've had enough. thisiseos,im tired of sick of anyone
888,Senang bertemu denganmu.,thisissos I am pleased to meet you. thisiseos,im going to meet you to meet you to meet with something to meet you love with you to meet you
889,Semuanya tutup.,thisissos Everything is closed. thisiseos,everything is it close her everything everybody closed
890,Hitung mundur untuk tahun baru sudah dimulai.,thisissos The countdown for the New Year has begun. thisiseos,count to count to only year
891,Sampai jumpa Jumat depan.,thisissos See you next Friday. thisiseos,see you ten years next week
892,Aku akan mengambil beberapa gelas.,thisissos I'll get some glasses. thisiseos,ill go to some dog ill call a glass by a glass of glass of cats see cats
893,Tom mengantar kami ke kebun binatang.,thisissos Tom took us to the zoo. thisiseos,tom ran across the train could marys on the just kept the just the just into the just the just the just high party into the just the just the just heard to the just the sky party of toms the train just the just the train only the just ran across the just the just his just the just ran across his just the just the just heard this just the just the just the just the just his just the just the just the just the just the just the just his just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just his just his just the just his just the just the just his just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just his just the just the just the just the just the just the just the
894,Tos!,thisissos Toast! thisiseos,let her job who let him have says tell your mind says your mind has let her mind says your mind says your mind says talk with mr job sometimes mr which sometimes mind says have says has close says your mind your mind says tell mr does your mind says really does your mind says have does your mind says tell mr which does your mind says have does your mind says have does your mind has let has let has thanks says have does your mind has let has let has let has let has close mind has thanks mind says your mind your mind your mind has thanks change her mind says your mind says have does your mind says your mind your mind says your mind says have does your mind has thanks change her mind your mind does your mind says your mind says your mind has let has thanks mind says tell has let has let has let has let her mind your mind has thanks mind your mind your mind has thanks says your mind your mind your mind your mind does your mind has thanks mind has let has thanks says your mind has thanks says your mind your mind says your mind your mind says your mind says your mind says your mind
895,Dia bilang begitu?,thisissos She said that? thisiseos,he said that really said that he said that
896,Kami masih mencari.,thisissos We're still searching. thisiseos,we still want to find out we was looking still need
897,Apa kamu menemukan surat-suratmu?,thisissos Did you find your letters? thisiseos,do you find your wrong
898,Apa yang terjadi?,thisissos What happened? thisiseos,whats happened
899,"Istriku mempunyai kesalahan-kesalahan. Meskipun demikian, aku mencintainya.","thisissos My wife has faults. None the less, I love her. thisiseos",my wife has bad for him for her wife as that i dont want him new hurry like her your favorite and it and bad for study the lot that i just not have new wife good place it has love his at all to understand the wife likes their new wife the though i just really bad for him very bad for him very bad time i just love is love him very much that i just dont have the more bad for her wife good place like her wife im not even though i just love his little cold so much that i just love his little wife love his all i just love his all that i just love his favorite at all the more bad that i just love him need his all i just love his all bad because i just learn he has not good place really bad that i just dont even though i just doesnt want him need his all bad place love his all i just love her wife though he has so much it sounds not though i just love their own wife though i just love his it little much rice is love his at all so much that i just dont even though i just doesnt know everything i just
900,Aku akan mengatakan kebenaran.,thisissos I'm going to tell the truth. thisiseos,ill go to the truth
901,Apakah kamu ingat nama gurumu saat kelas satu?,thisissos Do you remember your first grade teacher’s name? thisiseos,do you remember the name when is that class now
902,Pendidikan di dunia ini mengecewakanku.,thisissos Education in this world disappoints me. thisiseos,these who is at these days won can put on the world for a even as it wait today
903,"Tom pun menggosok batu yang sang peri baik berikan, dan ketika itu dia berubah menjadi seekor tupai dan bisa melarikan diri melewati jeruji besi dengan mudah.","thisissos Tom rubbed the stone that the good fairy had given him, whereupon he turned into a squirrel and could escape to freedom through the bars of the prison window with ease. thisiseos",tom doesnt think of the way about the way and must be a went to be able to make their family about this coffee may change their just have but those his family with anything and found to be able to make life and ran not change his family life ill have went to change the went about the went with about the went to these family about the family going to change his family going to make an old about the went found those things for anyone about the went easy so that family going to make an old about the went found about the went easy about the his family food can fight ill change his family going no real life and anyone about the went easy about the went speak an old about the just change his family life after about the went easy family going no real about the went to make was bad think about the went easy thats no have speak french two different about the went found about the just had any longer and very bad that family going to change his family going to change by the went easy what those things as bad want to change an old about the went speak an old about the went speak french last that family life
904,"Kalau kamu ingin bahagia, maka berbahagialah.","thisissos If you want to be happy, then be happy. thisiseos",if you want to be happy hand it happy hand
905,Aku harap aku mati.,thisissos I wish I were dead. thisiseos,i hope i are dead
906,Mari kita menyederhanakannya.,thisissos Let's make this simple. thisiseos,lets talk with her
907,Kita harus melakukan sesuatu.,thisissos We've got to do something. thisiseos,we must do something
908,Aku pikir aku akan pergi sekarang.,thisissos I think I'll go now. thisiseos,i dont think im going to leave it
909,"Jika Anda mencari informasi tentang pergerakan Esperanto di Indonesia, silakan kunjungi halaman webnya.","thisissos If you're seeking information about the Esperanto movement in Indonesia, please visit the webpage. thisiseos",if you feel a information will make sure ill make an women would change her more matter what your baby would change your eyes about eat family looking about your real more get your baby in your life if you say your life would like looking for your more family would like her favorite real little young with your baby in your baby for your family looking for real life about looking for your baby looking for your real own eyes about what about someone want about eat family looking for your baby has more young men will thank care about what my matter if you say your baby what your real life for your baby is worth more place give looking for your family family looking for your matter if you want gold as much five times about what about eat family food looking for your baby would what has worth more expensive matter what has what your baby try more five times has bill will never looking for your baby what my matter if you say five times has my matter come my matter as hard longer mind want me as the matter what you give looking for your place give me more place who is worth more get my matter if you looking for your baby looking for your
910,Aku dulu bermimpi menjadi miliuner.,thisissos I used to dream about being a millionaire. thisiseos,i used to be able to become your friend
911,Saya di Teheran.,thisissos I'm in Tehran. thisiseos,i am at your beautiful because i am outside
912,Dia bereputasi sebagai pengacara terbaik di kota ini.,thisissos He is reputed the best lawyer in this city. thisiseos,he different about the best four advice in this city at our best town
913,Guru matematikaku memiliki lebih dari seratus dasi di lemarinya.,thisissos My math teacher has over a hundred ties in his closet. thisiseos,the teacher have more than one does the job in have does more whos their have made more did try two things from what he have made the job because their different from what kind of job from your job he have made and have have more did more things than have more whos did not have more whos have than one questions have more important busy than may change his job who have more kind of your job about an did not change his job taller not have made these friends have more come important did you have another job than one did not have their did have made and have made more kind of your job than one kind of did two different women have another job try more kind of things he have these questions thanks more kind of did this job try more whos havent have more whos did and have have made an did this job who did not have made more whos have made an did not have does more kind of your job try more things much more important not change his job try more important have does more important have the job your job the job try more things he have caught care of his job too capital have made an did the job
914,Apakah sensitivitas tinggi itu?,thisissos What is high sensitivity? thisiseos,is it tall as tom is those
915,"Karena ada kesalahan teknis, filmnya ditayangkan di tempat yang diumumkan.","thisissos Because of some technical problem, a movie was shown in place of the announced program. thisiseos",because there was the the the go high his place in your place of place who made in your life that number of place to get their place of things such as your life about the place to say from such a job in the job on the job the bus thought their head about the job of your place in your place who did of place in your life who did anyone who did on your life didnt want to get your place who did the matter at what such an your place who does in the matter of his job in your place who did on what toms your place who does your place who does am in your place who did anyone wrong place such an your place who did on your place such their head says who did on toms place who did on your place who fire agree with his job in your place who did could make life things for real place who did on what such their head want to get your place who did his job his idea give him place who does the matter at my mind want to get your place theyre place who does your place about toms will make their mind really school your place such his job his job
916,Dia berkata bahwa dia harus bekerja.,thisissos He said that he had to work. thisiseos,she says that he had to work working
917,Aku datang ke Jepang tahun lalu.,thisissos I came to Japan last year. thisiseos,i came to japan because of year
918,Pergilah tidur.,thisissos Go to sleep. thisiseos,go to sleep because to go to sleep go to sleep
919,Tom terlihat sedih.,thisissos Tom looks upset. thisiseos,tom looks bill looks bill it looks bill it looks bill looks bill trust me bill looks bill tom looks bill tom looks able to trust me bill looks it looks bill trust me bill tom looks bill it looks bill trust him those bill look bill seems bill trust me again tom looks bill looks bill looks bill looks bill trust him those bill trust me bill it looks bill looks bill looks bill please it trust him those is trust him those bill the other airport trust him those bill looks bill looks bill looks bill trust me bill looks bill trust him those bill trust him trust him those bill looks bill trust him those you looking kind trust him those bill trust tom looks bill it looks bill looks bill trust tom looks bill trust him those bill looks bill looks bill looks bill looks bill trust him trust him those trust tom looks bill looks bill trust him those bill looks bill looks bill looks bill looks bill looks bill please again tom looks bill trust him trust him any longer trust him trust him those is bill tom looks bill the bill trust him those bill looks bill the other airport sure you again tom is trust him those bill trust him those trust him those
920,Tom menyelinap keluar kelas.,thisissos Tom slipped out of the classroom. thisiseos,tom found out his class toms class did tom can be made out of his class toms class tall as was did tom make did you get out of tom she did wrong with tall as tall as tall as was out what she did make his class about marys family do tom eat tall as he did tom did wrong class toms tall as tall as tall as is did wrong family do family do tall as tall as tall as tall as is got out what she did family do tall as tall as tall toms tall as is did tom can be found can get out what she did family do tall as is did tom can make tall as is did tom make tall as tall as she did tom family do family do family make tall as tall toms class toms class toms tall as tall as is did tom can get out the class toms class toms class toms class toms family do tall as tall as tall as tall as tall as she did tom toms class toms family do family do tall as she did tom can be found out the class toms class toms class toms class toms tall as tall as is can get out the class toms class toms class toms
921,Tom meminta tolong kepada saya untuk memberitahukan kamu dia akan terlambat.,thisissos Tom asked me to tell you he'd be late. thisiseos,tom asked you to help me to tell you if youre late if you if he would be late ill be late for me to be late if youre late if youre late for if youre late for you tell me if youre late if youre late for if you if youre late for me ill be late if youre late if you would tell me late for if you late for you late for you if youre late if youre late if youre late if youre late if you late if youre late if you late if youre late if you if you would tell me ill tell me ill tell me to tell me ill be late if you if youre late if you will tell me late if youre late if you late if youre late if youre late if youre late if youre late for you ill be late if you would tell me late if youre late if you would tell me ill tell me ill be late if youre late if youre late if you will tell me ill tell me ill be late if youre late if you late if you late if you late if youre late if youre late if you late if you if you if you will tell me ill tell
922,Ia selalu mendengar berita di radio.,thisissos He always hears the news on the radio. thisiseos,he always heard the news on the radio radio
923,Apakah Anda kenal dengan orang yang berdiri di atas jembatan itu?,thisissos Do you know the man standing on the bridge? thisiseos,do you know in that people who is standing on that the bridge
924,Saya sedang tidur waktu Markus datang.,"thisissos When Marcus arrived, I was sleeping. thisiseos",i am trying to come wrong time from the time he came
925,Malaysia berbatasan dengan Indonesia.,thisissos Malaysia borders Indonesia. thisiseos,malaysia gave love with indonesia
926,Lantai dan dinding bertelinga belaka.,thisissos Walls have ears. thisiseos,the floor and bad theyre had an floor and wrong floor and they floor their had an old floor and bad these days know and went wrong and theyre floor and went wrong with bad your bad try the floor right look right and went wrong with your had their had and floor and wrong if the floor of bad day sami and wrong with bad your had their bad your bad your bad your bad your day and had the matter thank coffee and try bad your bad day and bad your day and bad your bad your had their had their had their had their had bill floor and bad your day tried bad day bad your day money thank you do bad your had their had their had their had their had had their had their had their had their bad your had their had their had their had hope right look had their had your had the floor go close bad your had their had their bad your had their had their had their had their had their had their had hope had bill ill had hope she bad day and bad day go close bad your had the floor and bad your day go close bad your had had hope she bad your had their floor and
927,Apakah kamu pergi ke Boston atau Chicago?,thisissos Did you go to Boston or Chicago? thisiseos,do you went to boston or went on off or or went on off the between has on has couldnt has went to has been to boston
928,Aku rasa itu mungkin.,thisissos I guess that's possible. thisiseos,i dont think it can be is possible
929,Aku punya saudara kembar adik laki-laki.,thisissos I have a twin brother. thisiseos,i have a life of my brother and mine
930,Bodoh amat.,thisissos I don't give a fuck. thisiseos,become really cant really agree
931,Tamunya duduk berhadapan dengan saya.,thisissos The visitor sat across from me. thisiseos,the got an day with me by i but i have an your life the got an end of the got looking by be able to let be tried with my life the got such a lot of it in my had be an end with my family with me by weather in my she but ive tried with some got six got an your abroad she please
932,Bisa minta tolong nyalakan TV-nya?,thisissos Do you mind turning on the TV? thisiseos,can tell the turn on the television please the television for the television for the television for the television please turn on the television for the television for of the television might to turn on the television for the television day the television can pass me the television can knows the television for the television can help of the television please television for the television please life please life please turn television for the television please the television please turn tv the television please turn tv television close the television please turn television the television for the television please turn on the television by the television for the television for the television let the television life please put the television by the television pass the television please turn can count the television excuse television look the television please turn all day by the television please turn tv by the television the television please a television for the television turn can the television for the television for the television for the television for the television excuse the television please the television for the television all the television for the television the television pass the television for the television close the television pass the television please turn tv television let me the television pass the television living the television pass the television for the
933,Tom menghadiri upacara kelulusan Mary.,thisissos Tom attended Mary's graduation ceremony. thisiseos,tom marys come havent happened with mary try as was her different as marys havent made him as marys expensive try as mary she heard met her of their just go havent
934,Dia tidak berbahaya.,thisissos He's not dangerous. thisiseos,she isnt dangerous
